Clio,"""",8.250%,"""",7.250%,"""",7.500%,"""",Plumas
Clipper Mills,"""",8.250%,"""",7.250%,"""",7.500%,"""",Butte
Cloverdale,"""",9.000%,"""",8.000%,"""",8.250%,"""",Sonoma
Clovis,"""",8.975%,"""",7.975%,"""",8.225%,"""",Fresno
Coachella,"""",8.750%,"""",7.750%,"""",8.000%,"""",Riverside
Coalinga,"""",8.975%,"""",7.975%,"""",8.225%,"""",Fresno
Coarsegold,"""",8.750%,"""",7.750%,"""",8.000%,"""",Madera
Cobb,"""",8.250%,"""",7.250%,"""",7.500%,"""",Lake
Cohasset,"""",8.250%,"""",7.250%,"""",7.500%,"""",Butte
Cole,"""",9.750%,"""",8.750%,"""",9.000%,"""",Los Angeles
Coleville,"""",8.250%,"""",7.250%,"""",7.500%,"""",Mono
Colfax,"""",8.250%,"""",7.250%,"""",7.500%,"""",Placer
College City,"""",8.250%,"""",7.250%,"""",7.500%,"""",Colusa
College Grove Center,"""",8.750%,"""",7.750%,"""",8.000%,"""",San Diego
Colma,"""",9.250%,"""",8.250%,"""",8.500%,"""",San Mateo
Coloma,"""",8.250%,"""",7.250%,"""",7.500%,"""",El Dorado
Colorado,"""",8.750%,"""",7.750%,"""",8.000%,"""",Mariposa
Colton,"""",8.750%,"""",7.750%,"""",8.000%,"""",San Bernardino
Columbia,"""",8.250%,"""",7.250%,"""",7.500%,"""",Tuolumne
Colusa,"""",8.250%,"""",7.250%,"""",7.500%,"""",Colusa
Commerce,"""",9.750%,"""",8.750%,"""",9.000%,"""",Los Angeles
Comptche,"""",8.250%,"""",7.250%,"""",7.500%,"""",Mendocino
Compton,"""",9.750%,"""",8.750%,"""",9.000%,"""",Los Angeles
Concord,"""",9.750%,"""",8.750%,"""",9.000%,"""",Contra Costa
Cool,"""",8.250%,"""",7.250%,"""",7.500%,"""",El Dorado
Copperopolis,"""",8.250%,"""",7.250%,"""",7.500%,"""",Calaveras
Corcoran,"""",8.250%,"""",7.250%,"""",7.500%,"""",Kings
Cornell,"""",9.750%,"""",8.750%,"""",9.000%,"""",Los Angeles
Corning,"""",8.250%,"""",7.250%,"""",7.500%,"""",Tehama
Corona,"""",8.750%,"""",7.750%,"""",8.000%,"""",Riverside
Corona Del Mar,"""",8.750%,"""",7.750%,"""",8.000%,"""",Orange
Coronado,"""",8.750%,"""",7.750%,"""",8.000%,"""",San Diego
